,sheet,row_id,code,pathogen,activity,item,item_value,timestamp
0,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,1,0.5,2025-12-20_22:00:59
1,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,2,0.5,2025-12-20_22:00:59
2,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,3,1,2025-12-20_22:00:59
3,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,1,1,2025-12-20_22:00:59
4,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,2,0.5,2025-12-20_22:00:59
5,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,3,1,2025-12-20_22:00:59
6,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,1,8,2025-12-20_22:00:59
7,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,2,8,2025-12-20_22:00:59
8,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,3,8,2025-12-20_22:00:59
9,1-6,1,I76DR_1037P1,Staphylococcus aureus ATCC 29213 = CCM 4223,gentamicin,1,0.5,2025-12-20_22:00:59
10,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,1,1,2025-12-20_22:00:59
11,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,2,1,2025-12-20_22:00:59
12,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,3,2,2025-12-20_22:00:59
13,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,1,2,2025-12-20_22:00:59
14,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,2,1,2025-12-20_22:00:59
15,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,3,2,2025-12-20_22:00:59
16,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,1,4,2025-12-20_22:00:59
17,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,2,4,2025-12-20_22:00:59
18,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,3,4,2025-12-20_22:00:59
19,1-6,2,I76DR_1037P1,Enterococcus faecalis ATCC 29212 = CCM 4224,gentamicin,1,1,2025-12-20_22:00:59
20,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,1,1,2025-12-20_22:00:59
21,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,2,1,2025-12-20_22:00:59
22,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,3,1,2025-12-20_22:00:59
23,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,1,1,2025-12-20_22:00:59
24,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,2,1,2025-12-20_22:00:59
25,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,3,1,2025-12-20_22:00:59
26,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,MICb,1,16,2025-12-20_22:00:59
27,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,MICb,2,16,2025-12-20_22:00:59
28,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,MICb,3,8,2025-12-20_22:00:59
29,1-6,3,I76DR_1037P1,Escherichia coli ATCC 25922 = CCM 3954,gentamicin,1,-,2025-12-20_22:00:59
30,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MIC,1,8,2025-12-20_22:00:59
31,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MIC,2,8,2025-12-20_22:00:59
32,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MIC,3,8,2025-12-20_22:00:59
33,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MBC,1,8,2025-12-20_22:00:59
34,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MBC,2,8,2025-12-20_22:00:59
35,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MBC,3,16,2025-12-20_22:00:59
36,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MICb,1,64,2025-12-20_22:00:59
37,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MICb,2,64,2025-12-20_22:00:59
38,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MICb,3,64,2025-12-20_22:00:59
39,1-6,4,I76DR_1037P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,gentamicin,1,-,2025-12-20_22:00:59
40,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,MIC,1,1,2025-12-20_22:00:59
41,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,MIC,2,1,2025-12-20_22:00:59
42,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,MIC,3,0.5,2025-12-20_22:00:59
43,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,MBC,1,1,2025-12-20_22:00:59
44,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,MBC,2,1,2025-12-20_22:00:59
45,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,MBC,3,0.5,2025-12-20_22:00:59
46,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,MICb,1,-,2025-12-20_22:00:59
47,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,MICb,2,-,2025-12-20_22:00:59
48,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,MICb,3,-,2025-12-20_22:00:59
49,1-6,5,I76DR_1037P1,Staphylococcus epidermidis CCM 7221,gentamicin,1,-,2025-12-20_22:00:59
50,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,MIC,1,0.5,2025-12-20_22:00:59
51,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,MIC,2,0.5,2025-12-20_22:00:59
52,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,MIC,3,1,2025-12-20_22:00:59
53,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,MBC,1,1,2025-12-20_22:00:59
54,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,MBC,2,1,2025-12-20_22:00:59
55,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,MBC,3,1,2025-12-20_22:00:59
56,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,MICb,1,-,2025-12-20_22:00:59
57,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,MICb,2,-,2025-12-20_22:00:59
58,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,MICb,3,-,2025-12-20_22:00:59
59,1-6,6,I76DR_1037P1,Staphylococcus aureus 4591,gentamicin,1,-,2025-12-20_22:00:59
60,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,MIC,1,32,2025-12-20_22:00:59
61,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,MIC,2,32,2025-12-20_22:00:59
62,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,MIC,3,32,2025-12-20_22:00:59
63,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,MBC,1,32,2025-12-20_22:00:59
64,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,MBC,2,32,2025-12-20_22:00:59
65,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,MBC,3,32,2025-12-20_22:00:59
66,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,MICb,1,-,2025-12-20_22:00:59
67,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,MICb,2,-,2025-12-20_22:00:59
68,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,MICb,3,-,2025-12-20_22:00:59
69,1-6,7,I76DR_1037P1,Enterococcus faecium 419/ANA ,gentamicin,1,-,2025-12-20_22:00:59
70,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,MIC,1,2,2025-12-20_22:00:59
71,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,MIC,2,2,2025-12-20_22:00:59
72,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,MIC,3,2,2025-12-20_22:00:59
73,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,MBC,1,4,2025-12-20_22:00:59
74,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,MBC,2,4,2025-12-20_22:00:59
75,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,MBC,3,4,2025-12-20_22:00:59
76,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,MICb,1,-,2025-12-20_22:00:59
77,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,MICb,2,-,2025-12-20_22:00:59
78,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,MICb,3,-,2025-12-20_22:00:59
79,1-6,8,I76DR_1037P1,Escherichia coli CE5556 ,gentamicin,1,-,2025-12-20_22:00:59
80,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,MIC,1,4,2025-12-20_22:00:59
81,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,MIC,2,4,2025-12-20_22:00:59
82,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,MIC,3,4,2025-12-20_22:00:59
83,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,MBC,1,8,2025-12-20_22:00:59
84,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,MBC,2,8,2025-12-20_22:00:59
85,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,MBC,3,8,2025-12-20_22:00:59
86,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,MICb,1,-,2025-12-20_22:00:59
87,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,MICb,2,-,2025-12-20_22:00:59
88,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,MICb,3,-,2025-12-20_22:00:59
89,1-6,9,I76DR_1037P1,Escherichia coli 20574/C,gentamicin,1,-,2025-12-20_22:00:59
90,1-6,10,I76DR_1037P1,Pseudomonas aeruginosa R,MIC,1,8,2025-12-20_22:00:59
91,1-6,10,I76DR_1037P1,Pseudomonas aeruginosa R,MIC,2,8,2025-12-20_22:00:59
92,1-6,10,I76DR_1037P1,Pseudomonas aeruginosa R,MIC,3,4,2025-12-20_22:00:59
93,1-6,10,I76DR_1037P1,Pseudomonas aeruginosa R,MBC,1,8,2025-12-20_22:00:59
